"Município","População_estimada"
"110001 Alta Floresta D'Oeste",25578
"110037 Alto Alegre dos Parecis",13940
"110040 Alto Paraíso",20210
"110034 Alvorada D'Oeste",17063
"110002 Ariquemes",104401
"110045 Buritis",37838
"110003 Cabixi",6355
"110060 Cacaulândia",6367
"110004 Cacoal",87226
"110070 Campo Novo de Rondônia",14220
"110080 Candeias do Jamari",24155
"110090 Castanheiras",3617
"110005 Cerejeiras",17986
"110092 Chupinguaia",10129
"110006 Colorado do Oeste",18817
"110007 Corumbiara",8842
"110008 Costa Marques",16651
"110094 Cujubim",20974
"110009 Espigão D'Oeste",32385
"110100 Governador Jorge Teixeira",10127
"110010 Guajará-Mirim",46632
"110110 Itapuã do Oeste",9995
"110011 Jaru",55738
"110012 Ji-Paraná",130419
"110013 Machadinho D'Oeste",37167
"110120 Ministro Andreazza",10823
"110130 Mirante da Serra",12360
"110140 Monte Negro",15873
"110014 Nova Brasilândia D'Oeste",21592
"110033 Nova Mamoré",27600
"110143 Nova União",7824
"110050 Novo Horizonte do Oeste",10276
"110015 Ouro Preto do Oeste",39924
"110145 Parecis",5697
"110018 Pimenta Bueno",37512
"110146 Pimenteiras do Oeste",2424
"110020 Porto Velho",502748
"110025 Presidente Médici",22557
"110147 Primavera de Rondônia",3501
"110026 Rio Crespo",3750
"110028 Rolim de Moura",56242
"110029 Santa Luzia D'Oeste",8532
"110148 São Felipe D'Oeste",6103
"110149 São Francisco do Guaporé",19002
"110032 São Miguel do Guaporé",23933
"110150 Seringueiras",12581
"110155 Teixeirópolis",5003
"110160 Theobroma",11347
"110170 Urupá",13293
"110175 Vale do Anari",10843
"110180 Vale do Paraíso",8231
"110030 Vilhena",91801
"120001 Acrelândia",13869
"120005 Assis Brasil",6738
"120010 Brasiléia",23849
"120013 Bujari",9339
"120017 Capixaba",10498
"120020 Cruzeiro do Sul",81519
"120025 Epitaciolândia",16731
"120030 Feijó",32385
"120032 Jordão",7509
"120033 Mâncio Lima",17173
"120034 Manoel Urbano",8641
"120035 Marechal Thaumaturgo",16895
"120038 Plácido de Castro",18159
"120080 Porto Acre",16757
"120039 Porto Walter",10759
"120040 Rio Branco",370550
"120042 Rodrigues Alves",16974
"120043 Santa Rosa do Purus",5809
"120050 Sena Madureira",41750
"120045 Senador Guiomard",21182
"120060 Tarauacá",38819
"120070 Xapuri",17608
"130002 Alvarães",15545
"130006 Amaturá",10847
"130008 Anamã",12320
"130010 Anori",19292
"130014 Apuí",20648
"130020 Atalaia do Norte",18133
"130030 Autazes",37033
"130040 Barcelos",27433
"130050 Barreirinha",30658
"130060 Benjamin Constant",39484
"130063 Beruri",18171
"130068 Boa Vista do Ramos",17668
"130070 Boca do Acre",33498
"130080 Borba",39292
"130083 Caapiranga",12420
"130090 Canutama",15130
"130100 Carauari",27880
"130110 Careiro",36435
"130115 Careiro da Várzea",27981
"130120 Coari",83078
"130130 Codajás",26777
"130140 Eirunepé",34025
"130150 Envira",18786
"130160 Fonte Boa",20742
"130165 Guajará",15826
"130170 Humaitá",51302
"130180 Ipixuna",26860
"130185 Iranduba",45984
"130190 Itacoatiara",97122
"130195 Itamarati",8179
"130200 Itapiranga",8953
"130210 Japurá",5125
"130220 Juruá",13198
"130230 Jutaí",16585
"130240 Lábrea",43263
"130250 Manacapuru",94175
"130255 Manaquiri",28413
"130260 Manaus",2057711
"130270 Manicoré",53053
"130280 Maraã",18423
"130290 Maués",59983
"130300 Nhamundá",20358
"130310 Nova Olinda do Norte",35156
"130320 Novo Airão",17671
"130330 Novo Aripuanã",24315
"130340 Parintins",111575
"130350 Pauini",19378
"130353 Presidente Figueiredo",32812
"130356 Rio Preto da Eva",30530
"130360 Santa Isabel do Rio Negro",22404
"130370 Santo Antônio do Içá",23688
"130380 São Gabriel da Cachoeira",43094
"130390 São Paulo de Olivença",36536
"130395 São Sebastião do Uatumã",12781
"130400 Silves",9081
"130406 Tabatinga",61028
"130410 Tapauá",18152
"130420 Tefé",62444
