"Município","Município_infestado_p/dengue"
"110001 Alta Floresta D'Oeste",1
"110037 Alto Alegre dos Parecis",1
"110040 Alto Paraíso",1
"110034 Alvorada D'Oeste",1
"110002 Ariquemes",1
"110045 Buritis",1
"110003 Cabixi",1
"110060 Cacaulândia",1
"110004 Cacoal",1
"110070 Campo Novo de Rondônia",1
"110080 Candeias do Jamari",1
"110090 Castanheiras",1
"110005 Cerejeiras",1
"110092 Chupinguaia",1
"110006 Colorado do Oeste",1
"110007 Corumbiara",1
"110008 Costa Marques",1
"110094 Cujubim",1
"110009 Espigão D'Oeste",1
"110100 Governador Jorge Teixeira",1
"110010 Guajará-Mirim",1
"110110 Itapuã do Oeste",1
"110011 Jaru",1
"110012 Ji-Paraná",1
"110013 Machadinho D'Oeste",1
"110120 Ministro Andreazza",1
"110130 Mirante da Serra",1
"110140 Monte Negro",1
"110014 Nova Brasilândia D'Oeste",1
"110033 Nova Mamoré",1
"110143 Nova União",1
"110050 Novo Horizonte do Oeste",1
"110015 Ouro Preto do Oeste",1
"110145 Parecis",1
"110018 Pimenta Bueno",1
"110146 Pimenteiras do Oeste",1
"110020 Porto Velho",1
"110025 Presidente Médici",1
"110147 Primavera de Rondônia",1
"110026 Rio Crespo",1
"110028 Rolim de Moura",1
"110029 Santa Luzia D'Oeste",1
"110148 São Felipe D'Oeste",1
"110149 São Francisco do Guaporé",1
"110032 São Miguel do Guaporé",1
"110150 Seringueiras",1
"110155 Teixeirópolis",1
"110160 Theobroma",1
"110170 Urupá",1
"110175 Vale do Anari",1
"110180 Vale do Paraíso",1
"110030 Vilhena",1
"120001 Acrelândia",1
"120005 Assis Brasil",1
"120010 Brasiléia",1
"120013 Bujari",1
"120017 Capixaba",1
"120020 Cruzeiro do Sul",1
"120025 Epitaciolândia",1
"120030 Feijó",1
"120034 Manoel Urbano",1
"120038 Plácido de Castro",1
"120080 Porto Acre",1
"120040 Rio Branco",1
"120050 Sena Madureira",1
"120045 Senador Guiomard",1
"120060 Tarauacá",1
"120070 Xapuri",1
"130014 Apuí",1
"130040 Barcelos",1
"130068 Boa Vista do Ramos",1
"130070 Boca do Acre",1
"130080 Borba",1
"130110 Careiro",1
"130120 Coari",1
"130130 Codajás",1
"130170 Humaitá",1
"130185 Iranduba",1
"130190 Itacoatiara",1
"130210 Japurá",1
"130240 Lábrea",1
"130250 Manacapuru",1
"130255 Manaquiri",1
"130260 Manaus",1
"130270 Manicoré",1
"130290 Maués",1
"130300 Nhamundá",1
"130310 Nova Olinda do Norte",1
"130320 Novo Airão",1
"130330 Novo Aripuanã",1
"130340 Parintins",1
"130353 Presidente Figueiredo",1
"130356 Rio Preto da Eva",1
"130360 Santa Isabel do Rio Negro",1
"130370 Santo Antônio do Içá",1
"130380 São Gabriel da Cachoeira",1
"130406 Tabatinga",1
"130410 Tapauá",1
"130420 Tefé",1
"140005 Alto Alegre",1
"140002 Amajari",1
"140010 Boa Vista",1
"140015 Bonfim",1
"140017 Cantá",1
"140020 Caracaraí",1
"140023 Caroebe",1
"140028 Iracema",1
"140030 Mucajaí",1
"140040 Normandia",1
"140045 Pacaraima",1
"140047 Rorainópolis",1
"140050 São João da Baliza",1
"140060 São Luiz",1
"140070 Uiramutã",1
"150010 Abaetetuba",1
"150013 Abel Figueiredo",1
"150020 Acará",1
"150034 Água Azul do Norte",1
"150040 Alenquer",1
"150050 Almeirim",1
"150060 Altamira",1
"150070 Anajás",1
"150080 Ananindeua",1
"150085 Anapu",1
"150090 Augusto Corrêa",1
"150095 Aurora do Pará",1
"150110 Bagre",1
"150120 Baião",1
"150125 Bannach",1
"150130 Barcarena",1
"150140 Belém",1
"150145 Belterra",1
"150150 Benevides",1
"150157 Bom Jesus do Tocantins",1
"150160 Bonito",1
"150170 Bragança",1
"150172 Brasil Novo",1
"150175 Brejo Grande do Araguaia",1
"150178 Breu Branco",1
"150180 Breves",1
"150190 Bujaru",1
"150195 Cachoeira do Piriá",1
"150210 Cametá",1
"150215 Canaã dos Carajás",1
"150220 Capanema",1
"150230 Capitão Poço",1
"150240 Castanhal",1
"150260 Colares",1
"150270 Conceição do Araguaia",1
"150275 Concórdia do Pará",1
"150276 Cumaru do Norte",1
"150277 Curionópolis",1
"150280 Curralinho",1
"150290 Curuçá",1
"150293 Dom Eliseu",1
"150295 Eldorado dos Carajás",1
"150304 Floresta do Araguaia",1
"150307 Garrafão do Norte",1
"150309 Goianésia do Pará",1
"150310 Gurupá",1
"150320 Igarapé-Açu",1
"150330 Igarapé-Miri",1
"150340 Inhangapi",1
"150345 Ipixuna do Pará",1
"150350 Irituia",1
"150360 Itaituba",1
"150370 Itupiranga",1
"150380 Jacundá",1
"150390 Juruti",1
"150405 Mãe do Rio",1
"150410 Magalhães Barata",1
"150420 Marabá",1
"150430 Maracanã",1
"150440 Marapanim",1
"150442 Marituba",1
"150445 Medicilândia",1
"150460 Mocajuba",1
"150470 Moju",1
"150475 Mojuí dos Campos",1
"150480 Monte Alegre",1
"150490 Muaná",1
"150495 Nova Esperança do Piriá",1
"150497 Nova Ipixuna",1
"150500 Nova Timboteua",1
"150503 Novo Progresso",1
"150506 Novo Repartimento",1
"150510 Óbidos",1
"150520 Oeiras do Pará",1
"150530 Oriximiná",1
"150540 Ourém",1
"150543 Ourilândia do Norte",1
"150548 Pacajá",1
"150549 Palestina do Pará",1
"150550 Paragominas",1
"150553 Parauapebas",1
"150555 Pau D'Arco",1
"150560 Peixe-Boi",1
"150563 Piçarra",1
"150565 Placas",1
"150570 Ponta de Pedras",1
"150580 Portel",1
"150600 Prainha",1
"150610 Primavera",1
"150611 Quatipuru",1
"150613 Redenção",1
"150616 Rio Maria",1
"150618 Rondon do Pará",1
"150619 Rurópolis",1
"150620 Salinópolis",1
"150630 Salvaterra",1
"150635 Santa Bárbara do Pará",1
"150650 Santa Izabel do Pará",1
"150655 Santa Luzia do Pará",1
"150658 Santa Maria das Barreiras",1
"150660 Santa Maria do Pará",1
"150670 Santana do Araguaia",1
"150680 Santarém",1
"150690 Santarém Novo",1
"150700 Santo Antônio do Tauá",1
"150710 São Caetano de Odivelas",1
"150715 São Domingos do Araguaia",1
"150720 São Domingos do Capim",1
"150730 São Félix do Xingu",1
"150740 São Francisco do Pará",1
"150745 São Geraldo do Araguaia",1
"150746 São João da Ponta",1
"150747 São João de Pirabas",1
"150750 São João do Araguaia",1
"150760 São Miguel do Guamá",1
"150770 São Sebastião da Boa Vista",1
"150775 Sapucaia",1
"150780 Senador José Porfírio",1
"150790 Soure",1
"150795 Tailândia",1
"150796 Terra Alta",1
"150797 Terra Santa",1
"150800 Tomé-Açu",1
"150803 Tracuateua",1
"150805 Trairão",1
"150808 Tucumã",1
"150810 Tucuruí",1
"150812 Ulianópolis",1
"150815 Uruará",1
"150820 Vigia",1
"150830 Viseu",1
"150835 Vitória do Xingu",1
"150840 Xinguara",1
"160010 Amapá",1
"160020 Calçoene",1
"160023 Ferreira Gomes",1
"160025 Itaubal",1
"160027 Laranjal do Jari",1
"160030 Macapá",1
"160040 Mazagão",1
"160050 Oiapoque",1
"160015 Pedra Branca do Amapari",1
"160053 Porto Grande",1
"160055 Pracuúba",1
"160060 Santana",1
"160005 Serra do Navio",1
"160070 Tartarugalzinho",1
"170025 Abreulândia",1
"170030 Aguiarnópolis",1
"170035 Aliança do Tocantins",1
"170040 Almas",1
"170070 Alvorada",1
"170100 Ananás",1
"170105 Angico",1
"170110 Aparecida do Rio Negro",1
"170130 Aragominas",1
"170190 Araguacema",1
"170200 Araguaçu",1
"170210 Araguaína",1
"170215 Araguanã",1
"170220 Araguatins",1
"170230 Arapoema",1
"170240 Arraias",1
"170255 Augustinópolis",1
"170270 Aurora do Tocantins",1
"170290 Axixá do Tocantins",1
"170300 Babaçulândia",1
"170305 Bandeirantes do Tocantins",1
"170307 Barra do Ouro",1
"170310 Barrolândia",1
"170320 Bernardo Sayão",1
"170330 Bom Jesus do Tocantins",1
"170360 Brasilândia do Tocantins",1
"170370 Brejinho de Nazaré",1
"170380 Buriti do Tocantins",1
"170382 Cachoeirinha",1
"170384 Campos Lindos",1
"170386 Cariri do Tocantins",1
"170388 Carmolândia",1
"170389 Carrasco Bonito",1
"170390 Caseara",1
"170410 Centenário",1
"170510 Chapada da Natividade",1
"170460 Chapada de Areia",1
"170550 Colinas do Tocantins",1
"171670 Colméia",1
"170555 Combinado",1
"170560 Conceição do Tocantins",1
"170600 Couto Magalhães",1
"170610 Cristalândia",1
"170625 Crixás do Tocantins",1
"170650 Darcinópolis",1
"170700 Dianópolis",1
"170710 Divinópolis do Tocantins",1
"170720 Dois Irmãos do Tocantins",1
"170730 Dueré",1
"170740 Esperantina",1
"170755 Fátima",1
"170765 Figueirópolis",1
"170770 Filadélfia",1
"170820 Formoso do Araguaia",1
"170825 Fortaleza do Tabocão",1
"170830 Goianorte",1
"170900 Goiatins",1
"170930 Guaraí",1
"170950 Gurupi",1
"170980 Ipueiras",1
"171050 Itacajá",1
"171070 Itaguatins",1
"171090 Itapiratins",1
"171110 Itaporã do Tocantins",1
"171150 Jaú do Tocantins",1
"171180 Juarina",1
"171190 Lagoa da Confusão",1
"171195 Lagoa do Tocantins",1
"171200 Lajeado",1
"171215 Lavandeira",1
"171240 Lizarda",1
"171245 Luzinópolis",1
"171250 Marianópolis do Tocantins",1
"171270 Mateiros",1
"171280 Maurilândia do Tocantins",1
"171320 Miracema do Tocantins",1
"171330 Miranorte",1
"171360 Monte do Carmo",1
"171370 Monte Santo do Tocantins",1
"171395 Muricilândia",1
"171420 Natividade",1
"171430 Nazaré",1
"171488 Nova Olinda",1
"171500 Nova Rosalândia",1
"171510 Novo Acordo",1
"171515 Novo Alegre",1
"171525 Novo Jardim",1
"171550 Oliveira de Fátima",1
"172100 Palmas",1
"171570 Palmeirante",1
"171380 Palmeiras do Tocantins",1
"171575 Palmeirópolis",1
"171610 Paraíso do Tocantins",1
"171620 Paranã",1
"171630 Pau D'Arco",1
"171650 Pedro Afonso",1
"171660 Peixe",1
"171665 Pequizeiro",1
"171700 Pindorama do Tocantins",1
"171720 Piraquê",1
"171750 Pium",1
"171780 Ponte Alta do Bom Jesus",1
"171790 Ponte Alta do Tocantins",1
"171800 Porto Alegre do Tocantins",1
"171820 Porto Nacional",1
"171830 Praia Norte",1
"171840 Presidente Kennedy",1
"171845 Pugmil",1
"171850 Recursolândia",1
"171855 Riachinho",1
"171865 Rio da Conceição",1
"171870 Rio dos Bois",1
"171875 Rio Sono",1
"171880 Sampaio",1
"171884 Sandolândia",1
"171886 Santa Fé do Araguaia",1
"171888 Santa Maria do Tocantins",1
"171889 Santa Rita do Tocantins",1
"171890 Santa Rosa do Tocantins",1
"171900 Santa Tereza do Tocantins",1
"172000 Santa Terezinha do Tocantins",1
"172010 São Bento do Tocantins",1
"172020 São Miguel do Tocantins",1
"172025 São Salvador do Tocantins",1
"172030 São Sebastião do Tocantins",1
"172049 São Valério",1
"172065 Silvanópolis",1
"172080 Sítio Novo do Tocantins",1
"172085 Sucupira",1
"172090 Taguatinga",1
"172093 Taipas do Tocantins",1
"172097 Talismã",1
"172110 Tocantínia",1
"172120 Tocantinópolis",1
"172125 Tupirama",1
"172130 Tupiratins",1
"172208 Wanderlândia",1
"172210 Xambioá",1
"210005 Açailândia",1
"210010 Afonso Cunha",1
"210015 Água Doce do Maranhão",1
"210020 Alcântara",1
"210030 Aldeias Altas",1
"210040 Altamira do Maranhão",1
"210043 Alto Alegre do Maranhão",1
"210047 Alto Alegre do Pindaré",1
"210050 Alto Parnaíba",1
"210055 Amapá do Maranhão",1
"210060 Amarante do Maranhão",1
"210070 Anajatuba",1
"210080 Anapurus",1
"210083 Apicum-Açu",1
"210087 Araguanã",1
"210090 Araioses",1
"210095 Arame",1
"210100 Arari",1
"210110 Axixá",1
"210120 Bacabal",1
"210125 Bacabeira",1
"210130 Bacuri",1
"210140 Balsas",1
"210150 Barão de Grajaú",1
"210160 Barra do Corda",1
"210170 Barreirinhas",1
"210177 Bela Vista do Maranhão",1
"210180 Benedito Leite",1
"210190 Bequimão",1
"210193 Bernardo do Mearim",1
"210197 Boa Vista do Gurupi",1
"210200 Bom Jardim",1
"210203 Bom Jesus das Selvas",1
"210207 Bom Lugar",1
"210210 Brejo",1
"210215 Brejo de Areia",1
"210220 Buriti",1
"210230 Buriti Bravo",1
"210232 Buriticupu",1
"210235 Buritirana",1
"210237 Cachoeira Grande",1
"210240 Cajapió",1
"210250 Cajari",1
"210255 Campestre do Maranhão",1
"210260 Cândido Mendes",1
"210270 Cantanhede",1
"210275 Capinzal do Norte",1
"210280 Carolina",1
"210290 Carutapera",1
"210300 Caxias",1
